S.No,Symbol,LTP,Point Change,% Change,Open,High,Low,Volume,Prev. Close
1,ACLBSL,589.00,4.00,0.68,575.00,589.00,572.00,763.00,585.00
2,ADBL,259.00,0.80,0.31,258.20,262.80,257.60,"5,705.00",258.20
3,ADLB,"1,340.00",0.00,0.00,"1,366.80","1,366.80","1,340.00",110.00,"1,340.00"
4,AHPC,302.00,3.00,1.00,300.00,303.50,299.00,"15,906.00",299.00
5,AIL,461.00,8.00,1.77,461.00,470.00,455.10,510.00,453.00
6,AKJCL,228.10,1.10,0.48,229.90,230.90,226.00,"13,653.00",227.00
7,AKPL,410.00,3.00,0.74,404.00,411.80,404.00,"46,856.00",407.00
8,ALBSL,700.50,-6.50,-0.92,721.00,721.00,700.30,84.00,707.00
9,ALICL,620.00,2.90,0.47,625.00,629.40,620.00,954.00,617.10
10,API,262.00,4.90,1.91,261.20,263.00,260.00,"50,109.00",257.10
11,AVYAN,628.30,-20.40,-3.14,635.80,661.60,623.10,"1,493.00",648.70
12,BARUN,264.30,1.30,0.49,260.00,265.00,260.00,"3,036.00",263.00
13,BBC,"3,331.00",5.00,0.15,"3,275.00","3,380.00","3,275.00",170.00,"3,326.00"
14,BFC,330.00,4.00,1.23,331.50,331.50,330.00,"2,110.00",326.00
15,BHDC,445.20,5.20,1.18,432.00,454.70,432.00,"3,520.00",440.00
16,BHL,331.80,-3.20,-0.96,329.30,336.00,329.30,"2,070.00",335.00
17,BHPL,525.00,3.80,0.73,521.20,541.90,521.20,680.00,521.20
18,BNHC,418.00,3.00,0.72,411.00,422.00,411.00,"1,520.00",415.00
19,BNT,"12,700.00",-44.00,-0.35,"12,700.00","12,700.00","12,700.00",10.00,"12,744.00"
20,BPCL,322.00,3.00,0.94,325.00,325.00,319.00,"1,626.00",319.00
21,CBBL,786.00,-1.00,-0.13,785.00,798.00,784.00,"3,442.00",787.00
22,CBLD88,841.70,16.50,2.00,841.70,841.70,841.70,15.00,825.20
23,CFCL,322.00,7.50,2.38,319.00,322.00,315.00,856.00,314.50
24,CGH,"1,158.00",10.00,0.87,"1,132.00","1,177.00","1,131.00",460.00,"1,148.00"
25,CHCL,471.00,2.00,0.43,466.00,472.00,466.00,"11,743.00",469.00
26,CHDC,733.50,13.50,1.88,707.20,734.40,707.20,584.00,720.00
27,CHL,328.00,8.90,2.79,320.00,330.00,320.00,735.00,319.10
28,CIT,"2,045.00",19.00,0.94,"2,026.10","2,063.00","2,026.10","3,996.00","2,026.00"
29,CLBSL,622.30,10.30,1.68,624.00,635.00,622.30,154.00,612.00
30,CMF1,7.38,0.00,0.00,7.24,7.38,7.24,"10,100.00",7.38
31,CMF2,7.84,-0.16,-2.00,7.84,7.84,7.84,200.00,8.00
32,CORBL,305.00,3.00,0.99,308.00,314.00,305.00,230.00,302.00
33,CZBIL,179.60,0.60,0.34,179.00,180.90,179.00,"10,790.00",179.00
34,CZBILP,100.00,0.00,0.00,100.00,100.00,100.00,"486,364.00",100.00
35,DDBL,671.30,-13.70,-2.00,685.00,690.00,671.30,"2,713.00",685.00
36,DHPL,229.00,-0.90,-0.39,234.40,234.40,227.50,693.00,229.90
37,DLBS,815.00,-13.20,-1.59,813.00,825.00,806.00,815.00,828.20
38,DORDI,313.90,-1.10,-0.35,310.00,315.00,310.00,720.00,315.00
39,EBL,507.00,2.00,0.40,505.00,509.00,505.00,"5,538.00",505.00
40,EDBL,320.00,4.10,1.30,317.50,320.00,314.10,812.00,315.90
41,EHPL,448.40,-4.60,-1.02,444.00,460.00,444.00,"1,050.00",453.00
42,ENL,660.00,-12.10,-1.80,658.70,670.00,652.00,960.00,672.10
43,FMDBL,540.00,8.90,1.68,540.00,548.00,535.00,"2,716.00",531.10
44,FOWAD,"1,265.00",5.00,0.40,"1,283.90","1,283.90","1,265.00",927.00,"1,260.00"
45,GBBL,358.00,3.00,0.85,355.00,360.00,355.00,"1,115.00",355.00
46,GBIME,188.60,1.60,0.86,189.70,189.90,187.50,"23,031.00",187.00
47,GBLBS,485.00,1.00,0.21,488.90,490.00,474.40,740.00,484.00
48,GFCL,458.00,3.00,0.66,458.00,463.00,456.20,"1,252.00",455.00
49,GHL,272.50,1.50,0.55,274.00,274.00,267.00,"11,535.00",271.00
50,GIBF1,7.90,-0.15,-1.86,7.90,8.00,7.90,300.00,8.05
51,GILB,754.00,13.00,1.75,754.00,754.00,750.00,125.00,741.00
52,GIMES1,9.44,0.12,1.29,9.44,9.44,9.44,100.00,9.32
53,GLBSL,670.00,5.00,0.75,665.00,670.00,665.00,50.00,665.00
54,GLH,299.00,1.00,0.34,294.30,303.90,294.30,"1,122.00",298.00
55,GLICL,399.00,-4.90,-1.21,404.00,404.00,399.00,"5,944.00",403.90
56,GMFBS,759.00,28.00,3.83,731.00,774.10,731.00,269.00,731.00
57,GMFIL,325.00,-2.00,-0.61,329.00,329.80,325.00,590.00,327.00
58,GRDBL,261.20,0.20,0.08,264.90,265.00,261.00,707.00,261.00
59,GUFL,511.00,1.50,0.29,503.00,519.10,503.00,"1,818.00",509.50
60,GVL,445.50,-18.60,-4.01,454.90,454.90,441.10,"11,933.00",464.10
61,HBL,239.00,3.00,1.27,233.00,240.00,233.00,"7,040.00",236.00
62,HDHPC,227.30,2.70,1.20,228.00,231.90,226.00,"25,015.00",224.60
