#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,,,,,
1,USA,"105,766,484",,"1,150,567                                ",,"103,409,956",,"1,205,961","2,241","315,904","3,437","1,169,664,734","3,493,567","334,805,269 ",North America,,32910,,,,,
2,India,"44,692,710",,"530,790                                ",,"44,157,297",,"4,623",N/A,"31,773",377,"919,911,774","653,982","1,406,631,776 ",Asia,,"312,6502",,,,,
3,France,"39,683,382",,"165,288                                ",,"39,443,666",,"74,428",869,"605,072","2,520","271,490,188","4,139,547","65,584,518 ",Europe,,23970,,,,,
4,Germany,"38,283,817",,"169,460                                ",,"37,919,700",,"194,657",N/A,"456,392","2,020","122,332,384","1,458,359","83,883,596 ",Europe,,24951,,,,,
5,Brazil,"37,145,514",,"699,634                                ",,"36,249,161",,"196,719",N/A,"172,486","3,249","63,776,166","296,146","215,353,593 ",South America,,63083,,,,,
6,Japan,"33,354,244",,"73,391                                ",,"21,706,012",,"11,574,841",105,"265,591",584,"96,589,293","769,116","125,584,838 ",Asia,,"41,7111",,,,,
7,S. Korea,"30,681,228","+9,065","34,155                                ",+7,"30,468,756","+4,009","178,317",140,"597,726",665,"15,804,065","307,892","51,329,899 ",Asia,,"21,5033",177,,,,
8,Italy,"25,627,473",,"188,538                                ",,"25,294,864",,"144,071",104,"425,262","3,129","268,674,307","4,458,380","60,262,770 ",Europe,,23200,,,,,
9,UK,"24,423,396",,"208,458                                ",,"24,147,123","+4,023","67,815",N/A,"356,557","3,043","522,526,476","7,628,357","68,497,907 ",Europe,,33290,,,,,
10,Russia,"22,467,942",,"396,734                                ",,"21,817,461",,"253,747",N/A,"154,095","2,721","273,400,000","1,875,095","145,805,947 ",Europe,,63681,,,,,
11,Turkey,"17,042,722",,"101,492                                ",,N/A,N/A,N/A,,"199,186","1,186","162,743,369","1,902,052","85,561,976 ",Asia,,58431,,,,,
12,Spain,"13,778,467",,"119,618                                ",,"13,624,507",,"34,342",231,"294,921","2,560","471,036,328","10,082,298","46,719,142 ",Europe,,33910,,,,,
13,Vietnam,"11,527,099",,"43,186                                ",,"10,614,835",,"869,078",5,"116,490",436,"85,826,548","867,342","98,953,541 ",Asia,,"92,2911",,,,,
14,Australia,"11,385,534",,"19,459                                ",,"11,332,576",,"33,499",27,"436,750",746,"78,835,048","3,024,116","26,068,792 ",Australia/Oceania,,"21,3400",,,,,
15,Taiwan,"10,206,482",,"18,656                                ",,"9,980,094",,"207,732",,"427,253",781,"30,742,304","1,286,903","23,888,595 ",Asia,,"21,2801",,,,,
16,Argentina,"10,044,957",,"130,472                                ",,"9,912,836",,"1,649",363,"218,320","2,836","35,716,069","776,264","46,010,234 ",South America,,53531,,,,,
17,Netherlands,"8,604,733",,"22,992                                ",,"8,564,927",+815,"16,814",53,"499,942","1,336","25,984,435","1,509,718","17,211,447 ",Europe,,27491,,,,,
18,Iran,"7,575,927",,"144,993                                ",,"7,340,279",,"90,655",407,"88,069","1,686","55,353,767","643,478","86,022,837 ",Asia,,115932,,,,,
19,Mexico,"7,500,705",,"333,279                                ",,"6,736,012",,"431,414",N/A,"57,012","2,533","19,682,803","149,608","131,562,772 ",North America,,183957,,,,,
20,Indonesia,"6,740,404",,"160,963                                ",,"6,575,775",,"3,666",N/A,"24,148",577,"114,158,919","408,975","279,134,505 ",Asia,,"411,7342",,,,,
21,Poland,"6,466,025",,"119,101                                ",,"5,335,940",,"1,010,984",696,"171,332","3,156","38,410,015","1,017,759","37,739,785 ",Europe,,63171,,,,,
22,Colombia,"6,361,293",,"142,652                                ",,"6,184,855",,"33,786",342,"123,490","2,769","36,951,507","717,327","51,512,762 ",South America,,83611,,,,,
